bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,status,comments
,An Experimental Evaluation of Process Concept Drift Detection,"Adams, Jan Niklas and Pitsch, Cameron and Brockhoff, Tobias and van der Aalst, Wil M. P.",Proc. VLDB Endow.,2023,ACM Digital Library,1856–1869,16,"Process mining provides techniques to learn models from event data. These models can be descriptive (e.g., Petri nets) or predictive (e.g., neural networks). The learned models offer operational support to process owners by conformance checking, process enhancement, or predictive monitoring. However, processes are frequently subject to significant changes, making the learned models outdated and less valuable over time. To tackle this problem, Process Concept Drift (PCD) detection techniques are employed. By identifying when the process changes occur, one can replace learned models by relearning, updating, or discounting pre-drift knowledge. Various techniques to detect PCDs have been proposed. However, each technique's evaluation focuses on different evaluation goals out of accuracy, latency, versatility, scalability, parameter sensitivity, and robustness. Furthermore, the employed evaluation techniques and data sets differ. Since many techniques are not evaluated against more than one other technique, this lack of comparability raises one question: How do PCD detection techniques compare against each other? With this paper, we propose, implement, and apply a unified evaluation framework for PCD detection. We do this by collecting evaluation goals and evaluation techniques together with data sets. We derive a representative sample of techniques from a taxonomy for PCD detection. The implemented techniques and proposed evaluation framework are provided in a publicly available repository. We present the results of our experimental evaluation and observe that none of the implemented techniques works well across all evaluation goals. However, the results indicate future improvement points of algorithms and guide practitioners.",,10.14778/3594512.3594517,https://doi.org/10.14778/3594512.3594517,,,,VLDB Endowment,2150-8097,,,,"46049,79051","46049,79051",Unclassified,
,Consistency Management for Security Annotations for Continuous Verification,"Reiche, Frederik and Weber, Thomas and Becker, Simeon and Weber, Sebastian and Heinrich, Robert and Burger, Erik",,2024,ACM Digital Library,1096–1105,,"Analyses on the architecture of systems can yield valuable insights into a system even before it is built. The applicability of the results of these design time analyses to the system requires the system to be built according to its specification, i.e., to not violate constraints defined on the architecture. The conformance of the results of static code analyses and design time analyses ensures the system is built according to its specification. The first step for conforming results of these analyses is to ensure that the system and its specification is represented consistently in the input of the design time analysis and static code analysis, i.e., they comprise corresponding system elements and specifications for them. To achieve conforming inputs, we used consistency specifications between architecture and code models and implemented them between annotation models that enrich the architecture description with security annotations on the architecture level, as well as security annotations on the code level. This allows the continuous conformance checking during implementation and later during evolution of the system. We implemented the consistency specifications in the Vitruvius framework for an ADL and Java and tested it on case studies.",,10.1145/3652620.3687821,https://doi.org/10.1145/3652620.3687821,,,"model-based analysis, consistency management, development framework, early and continuous verification",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Real-World Streaming Process Discovery from&nbsp;Low-Level Event Data,"Lefebure, Franck and Thuault, Cecile and Cholet, Stephane",,2023,ACM Digital Library,150–164,,"New perspectives on monitoring and optimising business processes have emerged from advances in process mining research, as well as techniques for their discovery, conformance checking and enhancement. Many identify process discovery as the most challenging task, as it is the first in line, and as the methods deployed could impact the effectiveness of subsequent analysis. More and more companies are ready to use process mining products, but not at any cost. They require them to be highly reliable, fast and to introduce a limited overload on their resources (including human). In a real-word setting, specific business constraints add to common issues, such as high data frequency and asynchrony. This also adds to the complexity of real-world processes and of process mining itself. Mainstream studies propose to use a finite set of high-level and business-oriented event logs, where key attributes (i.e., case, activity and timestamp) are known, and apply unscaled discovery techniques to produce control-flow process models. In this research, we propose an original approach we have designed and deployed to mine processes of businesses. It features fully streamed and real-time techniques to mine low-level technical event data, where key attributes do not exist and have to be forged. We will focus on the scope of process discovery, and expose our adoption of an organizational perspective, driven by (semi-) unsupervised discovery, streaming and scaling features.",,10.1007/978-3-031-44505-7_11,https://doi.org/10.1007/978-3-031-44505-7_11,,,"Streaming process mining, Unsupervised process discovery, Real time, Scaling process mining, Organizational perspective",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,PROVED: A Tool for Graph Representation and Analysis of Uncertain Event Data,"Pegoraro, Marco and Uysal, Merih Seran and van der Aalst, Wil M. P.",,2021,ACM Digital Library,476–486,,"The discipline of process mining aims to study processes in a data-driven manner by analyzing historical process executions, often employing Petri nets. Event data, extracted from information systems (e.g. SAP), serve as the starting point for process mining. Recently, novel types of event data have gathered interest among the process mining community, including uncertain event data. Uncertain events, process traces and logs contain attributes that are characterized by quantified imprecisions, e.g., a set of possible attribute values. The PROVED tool helps to explore, navigate and analyze such uncertain event data by abstracting the uncertain information using behavior graphs and nets, which have Petri nets semantics. Based on these constructs, the tool enables discovery and conformance checking.",,10.1007/978-3-030-76983-3_24,https://doi.org/10.1007/978-3-030-76983-3_24,,,"Process mining, Uncertain data, Partial order, Petri net tool",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Machine learning approaches for the discovery of clinical pathways from patient data: A systematic review,"Muyama, Lillian and Neuraz, Antoine and Coulet, Adrien",J. of Biomedical Informatics,2024,ACM Digital Library,,160,,,10.1016/j.jbi.2024.104746,https://doi.org/10.1016/j.jbi.2024.104746,,,"Clinical pathway, Machine learning, Data-driven approach, Patient data",Elsevier Science,1532-0464,,,,"46049,79051","46049,79051",Unclassified,
,Architectural Technical Debt - A Systematic Mapping Study,"Sousa, Armando and Rocha, Lincoln and Britto, Ricardo",,2023,ACM Digital Library,196–205,,"Architectural Technical Debt (ATD) is one of the leading Technical Debt (TD) that causes more impact in maintaining and evolving complex software systems. We conduct a Systematic Mapping Study (SMS) to discover the main aspects of identifying and monitoring ATD items to help determine what the community has been studying about it in the last ten years. We evaluated 70 studies dating from 2012 to 2022. We find out the main types of ATD, how to measure and monitor ATD, which techniques and methods stand out in this area, the most used tools, and directions on how to calculate the cost of paying for ATD items. The results of this mapping study can help identify points that still require investigations on identifying, monitoring, and calculating the effort to fix ATD items. Furthermore, we have proposed a roadmap to aid managing Architectural Technical Debt, which provides guidance for identifying and monitoring ATD items in software systems.",,10.1145/3613372.3613399,https://doi.org/10.1145/3613372.3613399,,,"Architectural Technical Debt, Large-scale Software Systems, Software Maintenance and Evolution",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Analyzing Data Streams from Cyber-Physical-Systems: A Case Study,"Beyel, Harry H. and Makke, Omar and Pourbafrani, Mahsa and Gusikhin, Oleg and van der Aalst, Wil M. P.",SN Comput. Sci.,2024,ACM Digital Library,,5,"We show that conducting a process-mining-centric analysis concerning cyber-physical systems provides insights into usage behavior. To show that, we perform our analysis on connected-vehicle data. We transform connected-vehicle data into an event log. We analyze the resulting event log using various process-mining techniques. In particular, we apply basic statistical analysis as well as process-discovery and conformance-checking techniques to receive a well-representative process model. We apply various process-enhancement techniques to get deeper insights. Finally, we capture a multi-perspective view using a state-based approach. We show deviations between a de-jure model and our picked process model, leading to better knowledge concerning real user behavior. We observed that the predefined escalation of warning states does not happen. Additionally, we verified system requirements. Furthermore, we show that the reasons for drivers’ behavior are not related to system issues. Applying process-mining techniques to data concerning cyber-physical systems provides valuable insights into their functionality in a real-world setting. By utilizing process-mining techniques, we can extract insights to a human-understandable level and provide a well-studied access point.",,10.1007/s42979-024-03008-8,https://doi.org/10.1007/s42979-024-03008-8,,,"Process mining, Connected vehicles, Internet of Things, Cyber-physical systems",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Supporting Software Evolution by Integrating DSL-based Architectural Abstraction and Understandability Related Metrics,"Stevanetic, Srdjan and Haitzer, Thomas and Zdun, Uwe",,2014,ACM Digital Library,,,"Software architecture erosion and architectural drift are well known software evolution problems. While there exist a number of approaches to address these problems, so far in these approaches the understandability of the resulting architectural models (e.g., component models) is seldom studied. However, reduced understandability of the architectural models might lead to problems similar to architecture erosion and architectural drift. To address this problem, we propose to extend our existing DSL-based architecture abstraction approach with empirically evaluated understandability metrics. While the DSL-based architecture abstraction approach enables software architects to keep source code and architecture consistent, the understandability metrics extensions enables them, while working with the DSL, to continuously judge the understandability of the architectural component models they create with the DSL. We studied the applicability of our approach in a case study of an existing open source system.",,10.1145/2642803.2642822,https://doi.org/10.1145/2642803.2642822,,,"Architectural Abstraction, Architectural Component Views, DSL, Empirical Evaluation, Software Evolution, Software Metrics, Understandability",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Reinforcement Learning-Based Streaming Process Discovery Under Concept Drift,"Cai, Rujian and Zheng, Chao and Wang, Jian and Li, Duantengchuan and Wang, Chong and Li, Bing",,2024,ACM Digital Library,55–70,,"Streaming process discovery aims to discover a process model that may change over time, coping with the challenges of concept drift in business processes. Existing studies update process models with fixed strategies, neglecting the highly dynamic nature of trace streams. Consequently, they fail to accurately reveal the process evolution caused by concept drift. This paper proposes RLSPD (Reinforcement Learning-based Streaming Process Discovery), a dynamic process discovery approach for constructing an online process model on a trace stream. RLSPD leverages conformance-checking information to characterize trace distribution and employs a reinforcement learning policy to capture fluctuations in the trace stream. Based on the dynamic parameters provided by reinforcement learning, we extract representative trace variants within a memory window using frequency-based sampling and perform concept drift detection. Upon detecting concept drift, the process model is updated by process discovery. Experimental results on real-life event logs demonstrate that our approach effectively adapts to the high dynamics of trace streams, improving the conformance of constructed process models to upcoming traces and reducing erroneous model updates. Additionally, the results highlight the significance of the pre-trained policy in dealing with unknown environments.",,10.1007/978-3-031-61057-8_4,https://doi.org/10.1007/978-3-031-61057-8_4,,,"Process discovery, Concept drift, Trace stream, Reinforcement learning",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,An architectural style for scalable choreography-based microservice-oriented distributed systems,"Filippone, Gianluca and Pompilio, Claudio and Autili, Marco and Tivoli, Massimo",Computing,2022,ACM Digital Library,1933–1956,105,"Service choreographies are a versatile approach for building service-based distributed systems. Many approaches can be found in the literature tackling different aspects of service choreographies, such as choreography realizability and conformance checking, distributed coordination, formal choreographic languages, and scalability. As of today, choreography scalability has not been specifically addressed through approaches that also consider coordination issues while still decoupling these two related aspects. Scalability is one of the most important properties to be considered when building distributed systems. It enhances the user-perceived performances and influences the overall dependability of the system. In particular, load scalability allows distributed service-oriented systems to effectively handle varying loads without suffering performance degradation. In this direction, microservice-based systems are able to scale thanks to the possibility of replicating those microservices exposed to growing loads, distributing their workload among different instances. By leveraging on our experience in coordinating service choreographies, in this paper, we propose a layered architectural style that allows to realize scalable microservice-oriented choreographies. The architecture integrates a fully-distributed coordination layer capable of ensuring the correct interactions and a load-balancing layer that allows to balance of coordinated requests. We discuss the properties of the proposed architectural style and evaluate its benefits on user-perceived performances.",,10.1007/s00607-022-01139-5,https://doi.org/10.1007/s00607-022-01139-5,,,"Distributed systems, Microservices, Scalability, Load balancing",Springer-Verlag,0010-485X,,,,"46049,79051","46049,79051",Unclassified,
,Artifact-Driven Process Monitoring: A Viable Solution to Continuously and Autonomously Monitor Business Processes,"Meroni, Giovanni",,2021,ACM Digital Library,37–43,,"Business process monitoring aims at identifying how well running processes are performing with respect to performance measures and objectives. By observing the execution of a process, process monitoring is also responsible for creating process traces, which can be subsequently used by process mining algorithms to gain further insights on the process.Among the various monitoring solutions, artifact-driven monitoring has been proposed as a viable solution to continuously and autonomously monitor business processes. By monitoring the changes in the physical and virtual objects (i.e., artifacts) participating in the process, artifact-driven monitoring can autonomously generate traces that include events related to semi-automatic and manual tasks. Also, by relying on a declarative representation of the process to monitor, artifact-driven monitoring can detecting violations in the execution flow as soon as they occur. In addition, artifact-driven monitoring can identify the process elements affected by a violation, and it can continue monitoring the process without human intervention.This tutorial paper will firstly provide an introduction to process monitoring, and the recent advancements in this field. Then, an overview on how artifact-driven monitoring works will be provided.",,10.1007/978-3-030-85469-0_5,https://doi.org/10.1007/978-3-030-85469-0_5,,,"Business process monitoring, Artifact-driven, Conformance checking",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Unsupervised Learning and Process Analysis for Sensor Data Validation in the IIoT,"Husom, Erik Johannes and Goknil, Arda and Mannhardt, Felix and Tverdal, Simeon and Sen, Sagar and Nguyen, Phu",ACM Trans. Internet Technol.,2026,ACM Digital Library,,26,"Integrating Artificial Intelligence (AI) with the Industrial Internet of Things (IIoT) has transformed industrial processes, enhancing productivity, quality control, and operational efficiency. However, ensuring the precision and reliability of sensor-generated data remains a critical challenge due to the evolving nature of industrial processes and the limitations of conventional validation methods. Traditional rule-based and supervised learning approaches struggle to adapt to process shifts, drifts, and novel anomalies, making sensor data validation an ongoing issue. This article introduces UDAVA (Unsupervised Learning Approach using Process Mining for Sensor Data Validation in IIoT), a novel AI-driven pipeline designed to automate the identification of reference patterns in sensor data and validate subsequent production cycles by recognizing deviations from expected behaviors. UDAVA employs a multi-stage process that includes preprocessing sensor data, clustering recurring patterns, and assessing deviations. It supports semi-supervised learning by integrating manual labels where available, improving interpretability and accuracy. One of UDAVA’s key strengths lies in its ability to extract features from sensor data rather than relying on raw time series similarity, making it robust against noise and diverse process variations. Additionally, UDAVA integrates process mining techniques—process discovery and conformance checking—to enhance its ability to detect even subtle anomalies and deviations in industrial workflows. We conduct a comprehensive evaluation of UDAVA using three industrial datasets, demonstrating its effectiveness in identifying high-level process behaviors, detecting process shifts and drifts, and ensuring data validation across multiple production cycles. The results highlight UDAVA ’s adaptability across different industrial processes, making it a valuable tool for optimizing operations and ensuring sensor data reliability in IIoT environments.",,10.1145/3777897,https://doi.org/10.1145/3777897,,,"Unsupervised learning, IIoT, process mining, data reliability",Association for Computing Machinery,1533-5399,,,,"46049,79051","46049,79051",Unclassified,
,Towards a method for monitoring the coupling evolution of microservice-based architectures,"de Freitas Apolin\'{a}rio, Daniel Rodrigo and de Fran\c{c}a, Breno Bernard Nicolau",,2020,ACM Digital Library,71–80,,"The microservice architecture is claimed to satisfy ongoing software development demands, such as resilience, flexibility, and velocity. However, developing applications based on microservices also brings some drawbacks, such as the increased software operational complexity. Recent studies have also pointed out the lack of methods to prevent problems related to the maintainability of these solutions. Disregarding established design principles during the software evolution may lead to the so-called architectural erosion, which can end up in a condition of unfeasible maintenance. As microservices can be considered a new architecture style, there are few initiatives to monitoring the evolution of software microservice-based architectures. In this paper, we introduce the SYMBIOTE method for monitoring the coupling evolution of microservice-based systems. More specifically, this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution. The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could be signs of architectural erosion. To develop the proposed method, we performed an experimental analysis of the coupling metrics behavior using artificially-generated data.",,10.1145/3425269.3425273,https://doi.org/10.1145/3425269.3425273,,,"coupling metrics, maintainability, microservices, software evolution",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Enhanced Transformation of&nbsp;BPMN Models with&nbsp;Cancellation Features,"Lomidze, Giorgi and Schuster, Daniel and Li, Chiao-Yun and van Zelst, Sebastiaan J.",,2022,ACM Digital Library,128–144,,"Canceling ongoing process instances is a natural phenomenon in practice. As such, modeling cancellation behavior is supported in the Business Process Model and Notation (BPMN) via exception events. Event-data-driven analysis techniques using such process models, e.g., conformance checking, require converting the BPMN model into a formal process modeling representation, i.e., Petri nets. However, the existing transformation of BPMN models with exception events renders a classical Petri net, with various additional modeling constructs to mimic the exception behavior. Using such a model in a subsequent analysis renders an infeasible computational complexity. Hence, this paper presents a novel conversion of BPMN models with exception events into reset nets, significantly reducing the number of required invisible transitions in the corresponding transformation. Our results show that the enhanced conversion reduces the computational effort of using the converted models for conformance checking.",,10.1007/978-3-031-17604-3_8,https://doi.org/10.1007/978-3-031-17604-3_8,,,"Business process management, Business process modeling, BPMN, Petri nets",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Anomaly Classification to&nbsp;Enable Self-healing in&nbsp;Cyber Physical Systems Using Process Mining,"Singh, Uphar and Gajjala, Deepak and Khondoker, Rahamatullah and Gupta, Harshit and Sinha, Ayush and Vyas, O. P.",,2023,ACM Digital Library,1–15,,"Industrial Cyber Physical Systems (CPS) are large-scale critical infrastructures that are vulnerable to cyberattacks with wide-ranging consequences. Being a combination of heterogeneous devices and protocols, the large-scale CPS anomaly is also exposed to critical vulnerabilities. These vulnerabilities are treated in terms of anomalies and cyberattacks, and their detection and corresponding self-healing mechanisms on large-scale critical infrastructures can be challenging because of their massive size and interconnections. With the objective of process optimization through anomaly detection and conformance-checking approach, the present work addresses different issues, such as event log generation with tools such as PLG 2.0 for data-driven approach. Self-healing is enabled through machine learning models based on anomaly classification ensemble learning-based machine learning models. The work uses process mining to analyze event log files, and then combinations of conformance-checking methods with ensemble classification models were used to best classify anomalies. Finally, the proposed work establishes that, in comparison to techniques like KNN and C-SVC, the proposed ensemble models perform better, with an accuracy of 84.7% using trace alignment as a conformance technique with gradient boosting to classify anomalies, with the end objectives of process improvement.",,10.1007/978-3-031-44505-7_1,https://doi.org/10.1007/978-3-031-44505-7_1,,,"Cybersecurity, Process Mining, Cyber Physical Sytems, Anomaly Detection, Anomaly Classification, Self Healing",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Towards integrating process mining with agent-based modeling and simulation: State of the art and outlook,"Bemthuis, Rob H. and Lazarova-Molnar, Sanja",Expert Syst. Appl.,2025,ACM Digital Library,,281,,,10.1016/j.eswa.2025.127571,https://doi.org/10.1016/j.eswa.2025.127571,,,"Agent-based modeling, Agent-based simulation, Process mining, Systematic literature review","Pergamon Press, Inc.",0957-4174,,,,"46049,79051","46049,79051",Unclassified,
,Exploring Architectural Evolution in&nbsp;Microservice Systems Using Repository Mining Techniques and&nbsp;Static Code Analysis,"Genfer, Patric and Zdun, Uwe",,2024,ACM Digital Library,157–173,,"Microservices have gained popularity for isolating service functionality and mitigating issues such as architectural erosion and technical debt. However, their decentralized nature and rapid development often obscure the holistic view of the system and lead developers to lose sight of the overarching architecture. Our work addresses this challenge by proposing a novel approach to track and assess the evolution of microservice architectures through static source code analysis. We combine source code repository mining techniques with architectural reconstruction to measure various metrics throughout a system’s development history. Our approach uses a formal API-based decomposition model that can easily be adapted for different scenarios by choosing various architectural metrics. We validated our method’s scalability and robustness through a case study on an extensive open-source microservice reference system with more than 40 individual services written in different languages and more than 400 commits. Our research provides software architects with a powerful tool to identify and monitor problematic architectural trends before they become imminent threats, enabling the evolution of microservice-based systems while maintaining architectural coherence and integrity.",,10.1007/978-3-031-70797-1_10,https://doi.org/10.1007/978-3-031-70797-1_10,,,"Microservice API, evolution, source code repository mining, metrics, source code detectors",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Quality-Informed Process Mining: A Case for Standardised Data Quality Annotations,"Goel, Kanika and Leemans, Sander J. J. and Martin, Niels and Wynn, Moe T.",ACM Trans. Knowl. Discov. Data,2022,ACM Digital Library,,16,"Real-life event logs, reflecting the actual executions of complex business processes, are faced with numerous data quality issues. Extensive data sanity checks and pre-processing are usually needed before historical data can be used as input to obtain reliable data-driven insights. However, most of the existing algorithms in process mining, a field focusing on data-driven process analysis, do not take any data quality issues or the potential effects of data pre-processing into account explicitly. This can result in erroneous process mining results, leading to inaccurate, or misleading conclusions about the process under investigation. To address this gap, we propose data quality annotations for event logs, which can be used by process mining algorithms to generate quality-informed insights. Using a design science approach, requirements are formulated, which are leveraged to propose data quality annotations. Moreover, we present the “Quality-Informed visual Miner” plug-in to demonstrate the potential utility and impact of data quality annotations. Our experimental results, utilising both synthetic and real-life event logs, show how the use of data quality annotations by process mining techniques can assist in increasing the reliability of performance analysis results.",,10.1145/3511707,https://doi.org/10.1145/3511707,,,"Process mining, data quality, annotations, metadata, quality-informed performance analysis, quality-informed conformance checking",Association for Computing Machinery,1556-4681,,,,"46049,79051","46049,79051",Unclassified,
,Efficiently Computing Alignments: Using the Extended Marking Equation,"van Dongen, Boudewijn F.",,2018,ACM Digital Library,197–214,,"Conformance checking is considered to be anything where observed behaviour needs to be related to already modelled behaviour. Fundamental to conformance checking are alignments which provide a precise relation between a sequence of activities observed in an event log and a execution sequence of a model. However, computing alignments is a complex task, both in time and memory, especially when models contain large amounts of parallelism.When computing alignments for Petri nets, (Integer) Linear Programming problems based on the marking equation are typically used to guide the search. Solving such problems is the main driver for the time complexity of alignments. In this paper, we adopt existing work in such a way that (a) the extended marking equation is used rather than the marking equation and (b) the number of linear problems that is solved is kept at a minimum.To do so, we exploit fundamental properties of the Petri nets and we show that we are able to compute optimal alignments for models for which this was previously infeasible. Furthermore, using a large collection of benchmark models, we empirically show that we improve on the state-of-the-art in terms of time and memory complexity.",,10.1007/978-3-319-98648-7_12,https://doi.org/10.1007/978-3-319-98648-7_12,,,"Alignments, Conformance checking, Process Mining",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Towards Trace Variant Explainability,"Grigore, Iuliana Malina and Marques Tavares, Gabriel and Pasquadibisceglie, Vincenzo and Seidl, Thomas and Barbon Junior, Sylvio",,2025,ACM Digital Library,95–110,,"Understanding process variability remains a key challenge in process mining, especially when analyzing trace variants that capture diverse behavioral patterns in modern systems characterized by high data volume and complexity. In this paper, we propose a multiview explanation framework that enables interpretable analysis of trace variants through both global and local explanations. Our approach first encodes traces using multiple views—including activity, transition, case, and event-level information—applying nominal and time-based strategies suited to structural and performance aspects. Then, it introduces a dual-layer explanation mechanism: at the global level, variant representatives are compared to a global behavioral profile to highlight key differentiating features; at the local level, individual traces are contrasted with their assigned representatives to reveal the specific factors driving their inclusion. The framework is compatible with various variant analysis techniques, as long as a representative (e.g., medoid or central node) can be defined. We demonstrate the method’s effectiveness using benchmark event logs and interpretable visualizations, showing how it supports transparency, trust, and diagnostic insight in trace variant analysis.",,10.1007/978-3-032-05281-0_7,https://doi.org/10.1007/978-3-032-05281-0_7,,,"Process mining, Conformance Checking, Clustering, Explainability, Variant analysis, Multi-perspective",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Monitoring Behavioral Compliance with Architectural Patterns Based on&nbsp;Complex Event Processing,"Krieger, Christoph and Breitenb\""{u}cher, Uwe and Falkenthal, Michael and Leymann, Frank and Yussupov, Vladimir and Zdun, Uwe",,2020,ACM Digital Library,125–140,,"Architectural patterns assist in the process of architectural decision making as they capture architectural aspects of proven solutions. In many cases, the chosen patterns have system-wide implications on non-functional requirements such as availability, performance, and resilience. Ensuring compliance with the selected patterns is of vital importance to avoid architectural drift between the implementation and its desired architecture. Most of the patterns not only capture structural but also significant behavioral architectural aspects that need to be checked. In case all properties of the system are known before runtime, static compliance checks of application code and configuration files might be sufficient. However, in case aspects of the system dynamically evolve, e.g., due to manual reconfiguration, compliance with the architectural patterns also needs to be monitored during runtime. In this paper, we propose to link compliance rules to architectural patterns that specify behavioral aspects of the patterns based on runtime events using stream queries. These queries serve as input for a complex event processing component to automatically monitor architecture compliance of a running system. To validate the practical feasibility, we applied the approach to a set of architectural patterns in the domain of distributed systems and prototypically implemented a compliance monitor.",,10.1007/978-3-030-44769-4_10,https://doi.org/10.1007/978-3-030-44769-4_10,,,"Architecture compliance, Architectural patterns, Behavioral compliance monitoring, Complex event processing",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Leveraging Petri Nets for&nbsp;Workflow Anomaly Detection in&nbsp;Microservice Architectures,"Kamboj, Priyanka and Artho, Cyrille and Guanciale, Roberto and Jabbarvand, Reyhaneh and Godfrey, Brighten",,2025,ACM Digital Library,219–241,,"Modern microservice architectures pose challenges in understanding and managing the complex workflows within these decentralized services. In particular, it is difficult to identify anomalous behavior that could indicate a bug or attack. We use traces of microservice application activity (requests and responses) to infer a model of the application’s normal behavior. Our approach mines Petri nets to formally represent concurrent operations and their temporal dependencies with a targeted delay injection approach that accurately and efficiently learns these dependencies. The models produced are both explainable and easy to inspect, which offers more transparency and control. Our evaluation shows that injecting delays during model training allows us to achieve perfect model and log fitness (Move-Model and Move-Log fitness of 1) with just 29 traces. In contrast, a straightforward approach requires over 10,000 traces to achieve similar accuracy. Our models successfully identify anomalies in various experiments, such as traces with one missing or multiple missing activities, and reordered sequences to simulate issues in real-world scenarios. Our approach outperforms the state-of-the-art method, demonstrating higher accuracy.",,10.1007/978-3-031-94634-9_11,https://doi.org/10.1007/978-3-031-94634-9_11,,,"Alignments, Cost function, Delay, Microservices, Process mining, Process discovery, Conformance Checking",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Gradual Drift Detection in Process Models Using Conformance Metrics,"Gallego-Fontenla, V\'{\i}ctor and Gamallo-Fernandez, Pedro and Vidal, Juan C. and Lama, Manuel",ACM Trans. Knowl. Discov. Data,2025,ACM Digital Library,,19,"Changes, planned or unexpected, are common during the execution of real-life processes. Detecting these changes is a must for optimizing the performance of organizations running such processes. Most of the algorithms present in the state-of-the-art focus on the detection of sudden changes, leaving aside other types of changes. In this article, we will focus on the automatic detection of gradual drifts, a special type of change, in which the cases of two models overlap during a period of time. The proposed algorithm relies on conformance checking metrics to carry out the automatic detection of the changes, performing also a fully automatic classification of these changes into sudden or gradual. The approach has been validated with a synthetic dataset consisting of 120 logs with different distributions of changes, getting better results in terms of detection and classification accuracy, delay, and change region overlapping than the main state-of-the-art algorithms.",,10.1145/3716169,https://doi.org/10.1145/3716169,,,"Business Processes, Concept drift, Gradual drift, Process mining, Conformance checking",Association for Computing Machinery,1556-4681,,,,"46049,79051","46049,79051",Unclassified,
,Efficient Optimal Alignment Between Dynamic Condition Response Graphs and&nbsp;Traces,"Christfort, Axel Kjeld Fjelrad and Slaats, Tijs",,2023,ACM Digital Library,3–19,,"Dynamic Condition Response (DCR) Graphs is a popular declarative process modelling notation which is supported by commercial modelling tools and has seen significant industrial adoption. The problem of aligning traces with DCR Graphs, with it’s multitude of applications such as conformance checking and log repair, has surprisingly not been solved yet. In this paper we address this open gap in the research by developing an algorithm for efficiently computing the optimal alignment of a DCR Graph and a trace. We evaluate the algorithm on the PDC 2022 dataset, showing that even for large models and traces alignment problems can be solved within milliseconds, and present a case study based on test-driven modelling.",,10.1007/978-3-031-41620-0_1,https://doi.org/10.1007/978-3-031-41620-0_1,,,"Trace alignment, DCR graphs, Conformance checking, Declarative process models, Test-driven Modelling",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Process mining for healthcare decision analytics with micro-costing estimations,"Leemans, Sander J.J. and Partington, Andrew and Karnon, Jonathan and Wynn, Moe T.",Artif. Intell. Med.,2023,ACM Digital Library,,135,,,10.1016/j.artmed.2022.102473,https://doi.org/10.1016/j.artmed.2022.102473,,,"Process mining, Decision analytics, Healthcare economics",Elsevier Science Publishers Ltd.,0933-3657,,,,"46049,79051","46049,79051",Unclassified,
,Checking conformance of applications against GUI policies,"Zhang, Zhen and Feng, Yu and Ernst, Michael D. and Porst, Sebastian and Dillig, Isil",,2021,ACM Digital Library,95–106,,"A good graphical user interface (GUI) is crucial for an application's usability, so vendors and regulatory agencies increasingly place restrictions on how GUI elements should appear to and interact with users. Motivated by this concern, this paper presents a new technique (based on static analysis) for checking conformance between (Android) applications and GUI policies expressed in a formal specification language. In particular, this paper (1) describes a specification language for formalizing GUI policies, (2) proposes a new program abstraction called an _event-driven layout forest_, and (3) describes a static analysis for constructing this abstraction and checking it against a GUI policy. We have implemented the proposed approach in a tool called Venus, and we evaluate it on 2361 Android applications and 17 policies. Our evaluation shows that Venus can uncover malicious applications that perform ad fraud and identify violations of GUI design guidelines and GDPR laws.",,10.1145/3468264.3468561,https://doi.org/10.1145/3468264.3468561,,,"Android, ad fraud, mobile app, static analysis, user interface",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
